Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
ACURA ILX,2.4,4,AMS-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MHNXV02.4KH3,small car,3,24,34,28,6,No,316
ACURA ILX,2.4,4,AMS-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MHNXV02.4KH3,small car,3,24,34,28,6,No,316
ACURA NSX,3.5,6,AMS-9,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MHNXV03.5EBN,small car,3,21,22,21,4,No,420
ACURA NSX,3.5,6,AMS-9,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MHNXV03.5EBN,small car,3,21,22,21,4,No,420
ACURA RDX,2,4,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,MHNXT02.08VC,small SUV,6,22,28,24,5,No,370
ACURA RDX,2,4,SemiAuto-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,MHNXT02.08VC,small SUV,6,22,28,24,5,No,370
ACURA RDX,2,4,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,MHNXT02.08VC,small SUV,6,21,27,23,5,No,385
ACURA RDX,2,4,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,MHNXT02.08VC,small SUV,6,21,27,23,5,No,385
ACURA RDX A-SPEC,2,4,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,MHNXT02.09VC,small SUV,6,22,27,24,5,No,375
ACURA RDX A-SPEC,2,4,SemiAuto-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,MHNXT02.09VC,small SUV,6,22,27,24,5,No,375
ACURA RDX A-SPEC,2,4,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,MHNXT02.09VC,small SUV,6,21,26,23,5,No,387
ACURA RDX A-SPEC,2,4,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,MHNXT02.09VC,small SUV,6,21,26,23,5,No,387
ACURA TLX,2,4,SemiAuto-10,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MHNXV02.0AEC,small car,7,22,31,25,5,No,352
ACURA TLX,2,4,SemiAuto-10,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MHNXV02.0AEC,small car,7,22,31,25,5,No,352
ACURA TLX,2,4,SemiAuto-10,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MHNXV02.0AEC,small car,7,21,29,24,5,No,369
ACURA TLX,2,4,SemiAuto-10,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MHNXV02.0AEC,small car,7,21,29,24,5,No,369
ACURA TLX AWD A-SPEC,2,4,SemiAuto-10,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MHNXV02.0AEC,small car,7,21,29,24,5,No,371
ACURA TLX AWD A-SPEC,2,4,SemiAuto-10,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MHNXV02.0AEC,small car,7,21,29,24,5,No,371
ACURA TLX FWD A-SPEC,2,4,SemiAuto-10,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MHNXV02.0AEC,small car,7,22,30,25,5,No,357
